 02:58:19 up 116 days,  3:52, 54 users,  load average: 5.47, 4.63, 4.41
1, 1000, 0.0000030342,0.0000041351
1, 20000, 0.0000320077,0.0000828207
1, 300000, 0.0004710313,0.0012409780
1, 400000, 0.0006290078,0.0016542803
1, 500000, 0.0008736309,0.0020809267
1, 1000000, 0.0016295277,0.0041740611
1, 2000000, 0.0035257246,0.0085161515
1, 3000000, 0.0056177080,0.0128345042
1, 4000000, 0.0072187856,0.0170307364
1, 6000000, 0.0114204921,0.0254791342
1, 8000000, 0.0241831075,0.0343332775
2, 1000, 0.0000051651,0.0000075791
2, 20000, 0.0000593532,0.0000827648
2, 300000, 0.0004773252,0.0012407154
2, 400000, 0.0006330274,0.0016547758
2, 500000, 0.0007878449,0.0020765420
2, 1000000, 0.0015940964,0.0042120982
2, 2000000, 0.0035574101,0.0085109603
2, 3000000, 0.0056671668,0.0128317326
2, 4000000, 0.0074833073,0.0171084572
2, 6000000, 0.0113379043,0.0257648956
2, 8000000, 0.0155451652,0.0341799483
3, 1000, 0.0000033807,0.0000045486
3, 20000, 0.0000407156,0.0000910554
3, 300000, 0.0005046763,0.0012397282
3, 400000, 0.0006287768,0.0016554147
3, 500000, 0.0014405008,0.0037937406
3, 1000000, 0.0016585365,0.0041694921
3, 2000000, 0.0035023168,0.0085307099
3, 3000000, 0.0053626690,0.0127615072
3, 4000000, 0.0068076309,0.0170791056
3, 6000000, 0.0108000599,0.0256657954
3, 8000000, 0.0146164987,0.0339953899
4, 1000, 0.0000035688,0.0000041369
4, 20000, 0.0000460036,0.0000827704
4, 300000, 0.0011835564,0.0012397487
4, 400000, 0.0014855992,0.0030355155
4, 500000, 0.0014500283,0.0038087238
4, 1000000, 0.0016761553,0.0041529816
4, 2000000, 0.0034121182,0.0084523913
4, 3000000, 0.0051516797,0.0127153303
4, 4000000, 0.0067911036,0.0169859305
4, 6000000, 0.0101745427,0.0256120134
4, 8000000, 0.0136025064,0.0342072938
5, 1000, 0.0000039767,0.0000041351
5, 20000, 0.0000475179,0.0000845343
5, 300000, 0.0005304534,0.0012400299
5, 400000, 0.0012572594,0.0016536880
5, 500000, 0.0014430117,0.0020712502
5, 1000000, 0.0016201921,0.0076392516
5, 2000000, 0.0034403969,0.0084829573
5, 3000000, 0.0053033661,0.0126544982
5, 4000000, 0.0068740249,0.0169225056
5, 6000000, 0.0102933608,0.0255362149
5, 8000000, 0.0135798510,0.0340719875
6, 1000, 0.0000045467,0.0000041351
6, 20000, 0.0000361186,0.0000827331
6, 300000, 0.0006932113,0.0012395419
6, 400000, 0.0006367415,0.0016551018
6, 500000, 0.0007878449,0.0020715073
6, 1000000, 0.0018307921,0.0041556749
6, 2000000, 0.0033701882,0.0084213316
6, 3000000, 0.0054609179,0.0127266441
6, 4000000, 0.0072768610,0.0169233009
6, 6000000, 0.0103127956,0.0255970825
6, 8000000, 0.0143337566,0.0339421071
7, 1000, 0.0000042971,0.0000041313
7, 20000, 0.0000335202,0.0000827834
7, 300000, 0.0009470060,0.0012401119
7, 400000, 0.0022770315,0.0030353535
7, 500000, 0.0015896950,0.0037943479
7, 1000000, 0.0017245598,0.0041454956
7, 2000000, 0.0093626026,0.0084271468
7, 3000000, 0.0155069120,0.0126745049
7, 4000000, 0.0205129702,0.0168894175
7, 6000000, 0.0103772748,0.0255013313
7, 8000000, 0.0250128694,0.0338423997
8, 1000, 0.0000052210,0.0000041351
8, 20000, 0.0000644885,0.0000910386
8, 300000, 0.0009160936,0.0012403317
8, 400000, 0.0022865795,0.0016548559
8, 500000, 0.0028108582,0.0020741504
8, 1000000, 0.0030932948,0.0041752923
8, 2000000, 0.0112843476,0.0085252654
8, 3000000, 0.0064430553,0.0128230304
8, 4000000, 0.0126299094,0.0170808248
8, 6000000, 0.0256685093,0.0257651862
8, 8000000, 0.0421171077,0.0342076961
